,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
0,100,0.25,1.223336935043335,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,3,0.8223684210526316,0.0,0.020388948917388915
1,250,0.238,2.855435371398926,0.0,,,,,,,,,,0.2571428571428571,0.1904761904761904,0.0952380952380952,0.1523809523809524,0.219047619047619,0.0857142857142857,1,900,1,4,0.7828947368421052,0.003999999999999976,0.04759058952331543
2,401,0.25,4.573021173477173,8.0,,,,,,,,,,0.2761904761904762,0.2571428571428571,0.0952380952380952,0.2,0.1238095238095238,0.0476190476190476,1,900,1,4,0.8223684210526316,0.01200000000000001,0.07621701955795288
3,552,0.304,6.0796191692352295,5.0,,,,,,,,,,0.2571428571428571,0.3333333333333333,0.0952380952380952,0.1619047619047619,0.1238095238095238,0.0285714285714285,1,900,1,4,1.0,0.05399999999999999,0.1013269861539205
0,100,0.234,1.3255302906036377,21.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,4,0.7697368421052633,0.0,0.02209217151006063
0,100,0.002,1.3409473896026611,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,2,0,1.0,0.0,0.02234912316004435
0,100,0.002,1.4332177639007568,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,2,1,1.0,0.0,0.02388696273167928
0,100,0.002,1.3950660228729248,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,2,2,1.0,0.0,0.023251100381215414
0,100,0.002,1.322406530380249,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,2,3,1.0,0.0,0.022040108839670818
0,100,0.002,1.4104650020599363,2.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,2,4,1.0,0.0,0.02350775003433227
0,100,0.016,1.3624274730682373,29.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,3,0,1.0,0.0,0.022707124551137287
1,250,0.016,2.9856228828430176,29.0,,,,,,,,,,0.1904761904761904,0.1619047619047619,0.1047619047619047,0.2,0.2476190476190476,0.0952380952380952,1,900,3,1,1.0,0.002,0.04976038138071696
0,100,0.014,1.3868377208709717,14.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,3,1,0.875,0.0,0.023113962014516196
0,100,0.016,1.3182411193847656,33.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,3,2,1.0,0.0,0.021970685323079428
0,100,0.016,1.3261592388153076,33.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,3,3,1.0,0.0,0.022102653980255127
2,400,0.016,4.655698537826538,29.0,,,,,,,,,,0.219047619047619,0.2,0.0952380952380952,0.2571428571428571,0.1428571428571428,0.0857142857142857,1,900,3,4,1.0,0.002,0.0775949756304423
0,100,0.014,1.344799518585205,14.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,3,4,0.875,0.0,0.02241332530975342
2,401,0.192,4.518189668655396,18.0,,,,,,,,,,0.2,0.3333333333333333,0.0571428571428571,0.219047619047619,0.1809523809523809,0.0095238095238095,1,900,4,0,1.0,0.008000000000000007,0.0753031611442566
0,100,0.184,1.3304550647735596,4.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,4,0,0.9583333333333333,0.0,0.022174251079559327
