,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
0,100,0.002,0.228755235671997,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,0,1.0,0.0,0.00381258726119995
0,100,0.002,0.1915407180786132,11.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,1,1.0,0.0,0.00319234530131022
0,100,0.002,0.188779592514038,9.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,2,1.0,0.0,0.0031463265419006334
0,100,0.002,0.1881794929504394,12.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,3,1.0,0.0,0.003136324882507323
0,100,0.002,0.2226688861846923,13.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,4,1.0,0.0,0.003711148103078205
1,251,0.24,0.2819530963897705,3.0,,,,,,,,,,0.1809523809523809,0.219047619047619,0.1142857142857142,0.2761904761904762,0.1238095238095238,0.0857142857142857,1,900,1,0,0.7894736842105263,0.03,0.004699218273162842
2,401,0.25,0.3796954154968261,8.0,,,,,,,,,,0.219047619047619,0.2857142857142857,0.1047619047619047,0.2666666666666666,0.0666666666666666,0.0571428571428571,1,900,1,0,0.8223684210526316,0.010000000000000009,0.0063282569249471015
3,551,0.304,0.5412435531616211,5.0,,,,,,,,,,0.2476190476190476,0.3428571428571428,0.0761904761904762,0.2571428571428571,0.0380952380952381,0.0380952380952381,1,900,1,0,1.0,0.05399999999999999,0.009020725886027018
0,100,0.21,0.1838462352752685,16.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,0,0.6907894736842105,0.0,0.003064103921254475
0,100,0.304,0.1913690567016601,5.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,1,1.0,0.0,0.0031894842783610016
