,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
1,251,0.026,5.553380489349365,123.0,,,,,,,,,,0.1523809523809524,0.1047619047619047,0.1333333333333333,0.238095238095238,0.2571428571428571,0.1142857142857142,957,1,0,4,0.008,0.09255634148915609,0.9285714285714285
8,1304,0.028,27.51737594604492,24.0,,,,,,,,,,0.1428571428571428,0.3047619047619048,0.0571428571428571,0.1238095238095238,0.2952380952380952,0.0761904761904762,957,1,0,4,0.0020000000000000018,0.458622932434082,1.0
0,100,0.018,2.4632503986358643,125.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,4,0.0,0.041054173310597734,0.6428571428571428
3,550,0.142,8.275649547576904,13.0,,,,,,,,,,0.1844660194174757,0.3398058252427184,0.0194174757281553,0.1553398058252427,0.2621359223300971,0.0388349514563106,957,1,1,0,0.01999999999999999,0.13792749245961508,1.0
0,100,0.122,1.6614711284637451,28.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,0,0.0,0.027691185474395752,0.8591549295774649
1,251,0.142,3.836028575897217,13.0,,,,,,,,,,0.238095238095238,0.1523809523809524,0.0571428571428571,0.2571428571428571,0.2,0.0952380952380952,957,1,1,1,0.01999999999999999,0.06393380959828694,1.0
0,100,0.122,1.6384191513061523,28.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,1,0.0,0.02730698585510254,0.8591549295774649
1,250,0.142,3.837825059890747,13.0,,,,,,,,,,0.1619047619047619,0.1619047619047619,0.1047619047619047,0.2095238095238095,0.2666666666666666,0.0952380952380952,957,1,1,2,0.08199999999999999,0.06396375099817912,1.0
0,100,0.06,1.6454486846923828,106.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,2,0.0,0.027424144744873046,0.4225352112676057
3,553,0.142,11.786255359649658,13.0,,,,,,,,,,0.2761904761904762,0.1523809523809524,0.0952380952380952,0.238095238095238,0.1809523809523809,0.0571428571428571,957,1,1,3,0.01999999999999999,0.1964375893274943,1.0
0,100,0.122,1.8290469646453855,28.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,3,0.0,0.03048411607742309,0.8591549295774649
2,400,0.142,6.160395383834839,13.0,,,,,,,,,,0.2211538461538461,0.2019230769230769,0.1057692307692307,0.1057692307692307,0.2884615384615384,0.0769230769230769,957,1,1,4,0.03399999999999999,0.10267325639724731,1.0
0,100,0.108,1.7873270511627195,12.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,4,0.0,0.029788784186045324,0.7605633802816902
1,251,0.036,6.319309234619141,63.0,,,,,,,,,,0.2095238095238095,0.1523809523809524,0.1142857142857142,0.2857142857142857,0.1809523809523809,0.0571428571428571,957,1,2,0,0.005999999999999998,0.10532182057698568,1.0
0,100,0.03,2.346673488616944,47.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,2,0,0.0,0.0391112248102824,0.8333333333333334
1,250,0.032,5.438857555389404,74.0,,,,,,,,,,0.1142857142857142,0.1904761904761904,0.1142857142857142,0.2476190476190476,0.2476190476190476,0.0857142857142857,957,1,2,1,0.008,0.09064762592315674,0.888888888888889
