,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
6,974,0.962,1.039534091949463,77.0,20.0,2.0,7.0,20.0,0.4761904761904761,0.2952380952380952,0.0666666666666666,0.0952380952380952,0.0285714285714285,0.0380952380952381,140,5,0,1,0.03799999999999992,0.017325568199157714,0.9658634538152611
8,1274,0.968,1.2616398334503174,77.0,19.0,2.0,7.0,20.0,0.7075471698113207,0.2264150943396226,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0283018867924528,140,5,0,1,0.006000000000000005,0.02102733055750529,0.9718875502008032
9,1420,0.984,1.4003138542175293,17.0,11.0,2.0,13.0,66.0,0.7452830188679245,0.1698113207547169,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0471698113207547,140,5,0,1,0.016000000000000014,0.023338564236958823,0.9879518072289156
14,2160,0.994,1.970395565032959,20.0,19.0,2.0,13.0,11.0,0.8490566037735849,0.0660377358490566,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0566037735849056,140,5,0,1,0.010000000000000009,0.03283992608388265,0.9979919678714859
23,3495,0.996,3.0726478099823,3.0,1.0,2.0,13.0,17.0,0.8962264150943396,0.0566037735849056,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0188679245283018,140,5,0,1,0.0020000000000000018,0.05121079683303833,1.0
0,100,0.77,0.2229032516479492,8.0,31.0,15.0,9.0,27.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,1,0.0,0.0037150541941324863,0.7730923694779117
1,244,0.846,0.4121925830841064,23.0,23.0,2.0,24.0,63.0,0.238095238095238,0.2,0.1047619047619047,0.2285714285714285,0.1047619047619047,0.1238095238095238,140,5,0,2,0.10399999999999998,0.006869876384735106,0.8493975903614458
2,389,0.852,0.6021175384521484,23.0,14.0,2.0,24.0,47.0,0.2571428571428571,0.219047619047619,0.1238095238095238,0.2285714285714285,0.0476190476190476,0.1238095238095238,140,5,0,2,0.006000000000000005,0.010035292307535807,0.8554216867469879
3,537,0.884,0.7193877696990967,22.0,23.0,2.0,24.0,65.0,0.3238095238095238,0.2476190476190476,0.1142857142857142,0.1619047619047619,0.0380952380952381,0.1142857142857142,140,5,0,2,0.03200000000000003,0.011989796161651611,0.8875502008032129
4,679,0.926,0.8489675521850586,22.0,23.0,2.0,14.0,65.0,0.3904761904761905,0.2761904761904762,0.0761904761904762,0.0952380952380952,0.0380952380952381,0.1238095238095238,140,5,0,2,0.04200000000000004,0.01414945920308431,0.929718875502008
5,829,0.96,0.9730937480926514,15.0,13.0,2.0,13.0,76.0,0.5142857142857142,0.219047619047619,0.0666666666666666,0.0571428571428571,0.0380952380952381,0.1047619047619047,140,5,0,2,0.03399999999999992,0.016218229134877523,0.963855421686747
7,1126,0.974,1.232048273086548,22.0,15.0,2.0,5.0,20.0,0.6320754716981132,0.160377358490566,0.0754716981132075,0.0566037735849056,0.0283018867924528,0.0471698113207547,140,5,0,2,0.014000000000000012,0.020534137884775802,0.9779116465863453
8,1274,0.982,1.3831517696380615,22.0,15.0,2.0,7.0,20.0,0.7075471698113207,0.1415094339622641,0.0660377358490566,0.0094339622641509,0.0188679245283018,0.0566037735849056,140,5,0,2,0.008000000000000007,0.023052529493967692,0.9859437751004015
