,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
1,250,0.15,0.3527631759643554,13.0,,,,,,,,,,0.238095238095238,0.2761904761904762,0.0380952380952381,0.1619047619047619,0.2285714285714285,0.0571428571428571,957,1,1,0,0.06799999999999999,0.0058793862660725905,1.0
0,100,0.082,0.1984987258911132,17.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,0,0.0,0.00330831209818522,0.5466666666666667
1,251,0.15,0.3321578502655029,13.0,,,,,,,,,,0.2476190476190476,0.1428571428571428,0.0857142857142857,0.238095238095238,0.2095238095238095,0.0761904761904762,957,1,1,1,0.023999999999999994,0.005535964171091715,1.0
0,100,0.126,0.1991889476776123,12.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,1,0.0,0.003319815794626872,0.8400000000000001
1,250,0.134,0.3864331245422363,28.0,,,,,,,,,,0.2095238095238095,0.1714285714285714,0.0571428571428571,0.3142857142857143,0.1619047619047619,0.0857142857142857,957,1,1,2,0.022000000000000006,0.0064405520757039375,0.8933333333333334
4,701,0.15,0.677001953125,13.0,,,,,,,,,,0.2571428571428571,0.1523809523809524,0.0380952380952381,0.3142857142857143,0.2,0.0380952380952381,957,1,1,2,0.015999999999999986,0.011283365885416667,1.0
0,100,0.112,0.1988651752471923,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,2,0.0,0.003314419587453205,0.7466666666666667
1,250,0.126,0.3452506065368652,12.0,,,,,,,,,,0.2095238095238095,0.2666666666666666,0.1047619047619047,0.1904761904761904,0.1428571428571428,0.0857142857142857,957,1,1,3,0.022000000000000006,0.00575417677561442,0.8400000000000001
2,400,0.134,0.4594078063964844,28.0,,,,,,,,,,0.238095238095238,0.238095238095238,0.1142857142857142,0.2,0.1523809523809524,0.0571428571428571,957,1,1,3,0.008000000000000007,0.00765679677327474,0.8933333333333334
3,551,0.15,0.5504751205444336,13.0,,,,,,,,,,0.2285714285714285,0.238095238095238,0.0761904761904762,0.2571428571428571,0.1428571428571428,0.0571428571428571,957,1,1,3,0.015999999999999986,0.009174585342407227,1.0
0,100,0.104,0.2017138004302978,29.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,3,0.0,0.0033618966738382964,0.6933333333333334
1,250,0.15,0.346346378326416,13.0,,,,,,,,,,0.219047619047619,0.2571428571428571,0.0952380952380952,0.0952380952380952,0.2095238095238095,0.1238095238095238,957,1,1,4,0.015999999999999986,0.0057724396387736,1.0
0,100,0.134,0.2011382579803466,28.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,1,4,0.0,0.003352304299672443,0.8933333333333334
